label,No,Date,Content
0,57,"""2017-12-08T17:00","""지나가는 신형 링컨 엉덩이가 그랜저인줄 알았네...ㅡㅡ\n디자인 누가 따라했지...."""
1,58,"""2017-12-08T12:47","""그랜저 ig 하이브리드 익스클루시브 모델에 hud, AVM 추가로 견적 부탁드립니다..12월 구매 전액 현금조건으로 블박, 하이패스, 썬팅 등 추가장치 없고 가능한 현금할인 적용해서 부탁 드립니다. hojoongs@nate.com"""
1,59,"""2017-11-30T01:11","""5단 고정 경험함ㅋㅋ 그 외에는 뭐 연비도 이 등치에 좋고 나는 만족"""
1,60,"""2017-11-29T23:16","""가솔린 2.4 프리미엄 익스테리어 팩키지 1. 전액현금. 견적부탁합니다. kimsahn1915@naver.com"""
0,61,"""2017-11-29T22:30","""5단고정, 굉음수준의 엔진소음, 노면소음 대책없고, 풍절음 개쩔고, 쩜사 시동푸드득, 쩜2디젤 주행중 다다다닥 ㅎㅎ 또 뭐 없나?? ㅋㅋㅋ"""
1,62,"""2017-11-26T09:47","""길쭉허네"""
1,63,"""2017-11-25T04:23","""무작정 까는애들은 타보고 까는거 맞는건지 의심스럽다 \n겉만 보고 현대가 싫어서 까는거냐? 진짜 차가 좃같아서 까는거냐?\n렌트라도 해서 타보고 까기는 하는거냐?"""
0,64,"""2017-11-22T16:57","""2015  닷지 차저  뒷모습이 아예 카피했네..ㅡㅡ"""
1,65,"""2017-11-20T18:12","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com"""
1,66,"""2017-11-20T17:58","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com     &lt;"""
1,67,"""2017-11-20T17:58","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com"""
1,68,"""2017-11-20T17:58","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com"""
1,69,"""2017-11-20T17:58","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com"""
1,70,"""2017-11-20T17:58","""그랜저 ig 2017년형 기본옵션으로 장애인 LPG 현금일시불 구입원합니다. \n\n연락 부탁드립니다. 색상은 검정/검정입니다.    네이버 keun7774@naver.com"""
2,71,"""2017-11-20T10:57","""차알못들아 공부를좀해라 그리고 첫차는 중고를좀사자 운행을좀해서 정비에대해서좀알고 접촉사고처리도좀배우고 남자든여자든 애든노인이든 동호회 들가서 글보면 차알못천지여 답답글열라게만어 나도열심히공부중이다 공부좀하자제발 ㅋㅋㅋㅋㅋ  그놈의 설명서 정독좀하고~  으이그 답답이들 ㅎㅎㅎ"""
0,72,"""2017-11-19T18:25","""디자인 할때 미터기 장착 자리 먼저 디자인"""
1,73,"""2017-11-19T09:16","""인터넷에서 이렇게 개까이는차가 현실은 10만대 가까이 팔린건 무슨의미일까요? 설마 제대로 안타보고 까는건 아니죠? 인터넷에서 까이는대로면 10만대 가까이팔린 IG 오너분들은 다 호구겟군요"""
2,74,"""2017-11-17T17:46","""우리차는 BMW i8입니다. 그랜저하고 비교하면 내차가 더 좋음 같고싶지만 내 차가 더 좋은데...\n난 차라리 네 차랑 집 팔면 람보르기니 하나사고 캠핑카하나 사요.\n이건 아무것도 아니에요."""
0,75,"""2017-11-15T18:38","""택시 및 법인차 ㅋㅋ"""
0,76,"""2017-11-15T13:24","""2.4 창피해서 못타겠습니다. 2.0보다 안나가는 차. 시대를 역행해도 유분수지 고속도로에서 말리부 2.0한테 농락당하구\n상위트림사자니 미션5단고정에 엔진이 어쩌구 저쩌구 말들이 많구 ㅠ 미국에 수출을 못하는 이유가 있었던건가요?"""
1,77,"""2017-11-12T15:41","""2.4 블랙 프리미엄 스마트센스, 익스테리어패키지 2.4 블랙 프리미엄 스페셜 스마트센스 익스테리어패키지 어라운드뷰 전액 현금으로 두가지 견적 보내주세요 충죽 청주 mses7434@naver.com"""
1,78,"""2017-11-08T21:26","""견적부탁드려요. 2.4 가솔린 모던 // 전액현금 일시불이요.  jjm5098@hanmail.net"""
2,79,"""2017-11-08T13:18","""항상 느끼는거지만 타사영맨들 ㅋㅋ거며 ㅂㄷㅂㄷ 개꿀잼  ㅠㅠ"""
2,80,"""2017-11-07T17:20","""수사중 닉넴 새끼 아직까지 고 김주혁씨 차 언급하면서 지바겐보다 안전하다고 현기차 빠러재끼네 ㅋㅋ 저런 엘베충색끼 신고 안먹나?^^"""
2,81,"""2017-11-07T17:19","""단종이네 ㅋㅋㅋㅋㅋ 뭐냨ㅋㅋㅋㅋㅋㅋ"""
1,82,"""2017-11-07T12:46","""그렌져 ig 모던 lpi 3.0 12월 전액현금 구매예정입니다 견적 잘 내어주실 영맨분 lfjesus@hanmail.net으로 연락주세요"""
0,83,"""2017-11-07T07:48","""차가좋은진모르겠는데 요즘결함얘기도많고.."""
0,84,"""2017-11-07T03:29","""흉기빠님들이 흉기차는 독일차 일본차도 발라버리는 우주슈퍼 최강차라는데 어케 8단미션이 5단에서 고정됩니까???? 이유가 뭔가요???  도대체 5단변속밖엔 안되는 차를 왜 8단 변속기를 올리는거에요??? 이게 5단이지 8단이에요..."""
0,85,"""2017-11-06T23:44","""엔진 결함, 미션 결함"""
0,86,"""2017-11-06T22:07","""그랜져IG 미션결함ㅋㅋㅋㅋ 고속도로 굉음동영상 보니 섬뜩하구만ㅋㅋㅋㅋㅋ   http://www.bobaedream.co.kr/view?code=accident&amp;No=472351"""
0,87,"""2017-11-06T20:09","""그랜저를 인기차량에서 빼버린건가요? 하도 욕을 먹어서 그런가 ㅋㅋ 왜없앤걸까요 네이버"""
0,88,"""2017-11-06T17:48","""http://m.post.naver.com/viewer/postView.nhn?volumeNo=10297837&amp;memberNo=16519581 나는 현대가 요즘 개발많이하고 내외수 차별 안하는 줄 알았는데 현대가 이제 정신차린가보다했는데 그게 아니네 ㅋㅋ 숙성된 신형 mpi는 해외수출이고 gdi는 해외 자체 출시를 안했네ㅋㅋ 역시~^^ 지디아이가 문제있는 엔진이어서 해외수출을 안하는거였어... 역시는 역시군~^^"""
0,89,"""2017-11-06T15:08","""http://v.auto.daum.net/v/20171105160007492\n미션도 이상해....\n엔진도 이상해...\n서비스센터를 방문하는 고객에게만 무상수리를 제공한다.\n서비스도이상해..."""
,90,"""2017-11-06T14:55","""http://m.news.naver.com/read.nhn?mode=LSD&amp;mid=sec&amp;sid1=103&amp;oid=030&amp;aid=0002654353 현기만세!!!ㅋㅋ"""
,91,"""2017-11-06T10:00","""오늘자 뉴스 현대차 B필러가 무너지던 말던 폐차하던말던 \""에어백 미전개\""는 당연한거다 http://news.naver.com/main/read.nhn?mode=LSD&amp;mid=sec&amp;oid=001&amp;aid=0009661609&amp;sid1=001"""
0,92,"""2017-11-05T20:10","""i씨 g라알 같네"""
1,93,"""2017-11-05T09:39","""내구성 안전성검사에서 벤츠 g바겐 보다 500% 압 승. 결론"""
0,94,"""2017-11-05T08:28","""택시를왜 돈주고 사죠~"""
0,95,"""2017-11-04T22:44","""역시 쓰레기 택시차 그랜 다이 저ㅋㅋ 택시만 조낸 보임"""
0,96,"""2017-11-04T20:24","""가솔린은 불나고, 터져서 G랄, 디젤은 엔진오일 증가해서 급발진나고 G랄 믿고 살수가 없는 브랜드네."""
0,97,"""2017-11-04T18:49","""ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ 세타엔진 ㅋㅋㅋ"""
0,98,"""2017-11-04T12:54","""그렌저 IG 이차도 설마 엔진 빵꾸나는 세타2엔진 달지는 않았겠죠? MBC 시사 2580에 나왔던 그 엔진이요"""
1,99,"""2017-11-04T01:11","""3.0 익스클루시브 다이나믹 밴딩 미쉐린 19인치 옵션만 넣고 이번 달에 구매하려는데 할인 해주실 영맨님 연락주세요audqo1522@naver.com"""
0,100,"""2017-11-03T23:24","""고속도로에서 사고나면 100프로 과속사고!!!!확정~~~~~~~~~"""
2,101,"""2017-11-03T20:54",""""""
0,102,"""2017-11-03T20:51","""여러분 개돼지 되기 싫으시다면 갓 르쌍쉐를 타시면 됩니다...현기타면 님들 죽어요...아무튼 죽음ㅋ"""
1,103,"""2017-11-03T17:34","""10년 탈 자동차도 아닌데.\n뭘 토크에서 까냐ㅋㅋㅋ\n빙시들아 그랜져 5년까지 탈만하다."""
,104,"""2017-11-03T15:48","""http://m.post.naver.com/viewer/postView.nhn?volumeNo=10297837&amp;memberNo=16519581 나는 현대가 요즘 개발많이하고 내외수 차별 안하는 줄 알았는데 현대가 이제 정신차린가보다했는데 그게 아니네 ㅋㅋ 숙성된 신형 mpi는 해외수출이고 gdi는 해외 자체 출시를 안했네ㅋㅋ 역시~^^ 지디아이가 문제있는 엔진이어서 해외수출을 안하는거였어... 역시는 역시군~^^"""
,105,"""2017-11-03T11:55","""내년 a7기다리는 동안 3.0  올현금 주고 살까하는데 그렌져가 그렇게 심각한가요.."""
,106,"""2017-11-03T11:28","""호구렌져"""
,107,"""2017-11-03T11:17","""개돼지렌져"""
,108,"""2017-11-03T11:17","""내수렌져"""
,109,"""2017-11-02T22:10","""엔진 빵꾸 많이 나네요"""
,110,"""2017-11-02T21:36","""현대에 알버트 비어만 형님 오신 이후로 아반떼스포츠나 그랜저는 함부로 깔만한차는 아닌거같은데? 그랜저IG 타보지도 않고 까는건 뭔생각으로 까는거냐? 제대로 몰아보기는 한건지 의심이 간다"""
,111,"""2017-11-02T18:00","""중고차 선호도 보면 가성비 좋은 차로 뭘사야할지 답 나온다. 30~60대 모두 그랜져."""
,112,"""2017-11-02T15:31","""야.~ 이차는 계속 1등 먹네돈내는 사람들이 사는차가 최고인거 맞죠 ? 돈안내고 입으로 까는분들은 공짜니까 장난으로 까고 남들이 차사니까  배가 아파서 까는거 맞죠 ?"""
,113,"""2017-11-02T04:33","""lee1j2k@naver.com 2.4 풀옵이랑 3.0풀옵현금일시불결제 견적부탁드려요 바로구매예정입니다"""
,114,"""2017-11-01T20:19","""한국이나 사주는 고급흉기차"""
,115,"""2017-11-01T19:03","""tjddnr9815@naver.com 2.4가솔린 현금 결제 견적 부탁드릴게요 바로 결제 가능합니다"""
,116,"""2017-11-01T16:03","""아우"""
,117,"""2017-11-01T15:41","""그랜져 요즘 너무많이보여서 이젠좀 징그럽드라 ㅋㅋㅋㅋ 무슨 벌레들같아 ... 생긴게 ㅋㅋㅋㅋ"""
,118,"""2017-10-31T21:36","""뭐 견적글이 여기도 있네... 그래도 근 4천만원 하는 것 사면서 선수금 천만... 안 쪽 팔리나?"""
,119,"""2017-10-31T21:27","""@@그랜져IG 미션결함 현재 진행중인 건 http://m.bobaedream.co.kr/board/bbs_view/accident/472664"""
,120,"""2017-10-31T20:12","""소나타랑 말리부터보들도 실제 휠마력 차이나요 ㅋㅋㅋ\n현기는 뻥마력 개심함  2.0터보 제원상 250마력인가 그런데\n실제론 198마력 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ\n 말리부는 220마력인가?나오던데 둘다 뻥마력심하긴한데  쏘나타는 더심함 ㅋㅋㅋㅋ"""
,121,"""2017-10-31T17:09","""뉴라이즈 이전 LF랑 같이 있으면 IG가 이상하게 더 작아보이네요.\n실제 사이즈는 비슷한데말이죠"""
,122,"""2017-10-31T00:56","""오늘 동생차 3.0이랑 120d랑 달려봤는데 120d가 빠름 현기 뻥마력 심한듯."""
,123,"""2017-10-30T23:03","""2.4 가솔린 프리미엄 현금가 / 2.2 디젤 프리미엄 현금가   (판테라 그레이)\n견적문의 부탁드립니다  skyjihunwin@naver.com"""
,124,"""2017-10-30T20:05","""http://news.jtbc.joins.com/html/422/NB11533422.html"""
,125,"""2017-10-30T19:35","""그랜저ig 판테라 그레이 는 언제봐도 이쁜것 같다....진짜 그랜저ig색상 甲 은 무조건 판테라그레이다"""
,126,"""2017-10-29T14:03","""쓰레기 택시차"""
,127,"""2017-10-29T01:25","""2.4/프리미엄 스페셜/익스테리어 패키지2/어라운드뷰 모니터 + 스마트 전동식 트렁크/판테라 그레이견적 요청 합니다 구매 방식은 지금 차 팔고 2000만원 할부 예정입니다. antjdrla123@naver.com"""
,128,"""2017-10-28T22:20","""디자인 ㅁㅈㅎ당했노이기야!!"""
,129,"""2017-10-28T17:22","""수입차타보니 그랜저가 왜케 싸보이지.. \n국산중형탈땐 그랜저가 갖고싶었는데 비싸고 \n눈이 높아졌구만.."""
,130,"""2017-10-28T12:21","""구매 하실분들 꼭 한 번 씩 보고 가세요.\nhttp://www.bobaedream.co.kr/view?code=accident&amp;No=472664"""
,131,"""2017-10-27T17:40","""이쯤되면 판매 중단 해야 하지 않나요?\n8단미션 차량"""
,132,"""2017-10-27T17:22","""정말 돈여유있으면 벤츠 e클라스타고싶은데 어느정도 번다면 꼮 요거는 노려보고싶다 ㅠ_ㅠ 비싸다근데 요것두"""
,133,"""2017-10-27T15:20","""도로 운행점유률 95% 과 24시 풀 돌리는 택시 사고율보면 현기차 완성도는 쵝오, 에러율은 최저,내구성 지존은 증명됨 ㅎ"""
,134,"""2017-10-27T14:57","""내가 정몽구라도 결함따위 안중에도 없을듯\n뭔짓을해서 내놔도 팔아주는 국민들이 있는데 리콜은 개뿔~ ㅎㅎ"""
